SEQ.;DATA_MAPEAMENTO;COLUNA_ORIGEM;POSICAO_DESTINO_OFICIAL;COLUNA_DESTINO_OFICIAL;TIPO_DESTINO;TAMANHO_CAMPO;CASAS_DECIMAIS;FORMATO_DESTINO
1;2026-04-29 14:13:37;BENEFICIARIOS_ANO_REFERENCIA;;ANO_REFERENCIA;Texto Curto;4;;
2;2026-04-29 14:13:37;BENEFICIARIOS_NUM_ACAO_ORIGINARIA;;NUMERO_ACAO_ORIGINARIA;Texto Curto;20;;
3;2026-04-29 14:13:37;BENEFICIARIOS_DATA_AJUIZAMENTO_ACAO;;DATA_AJUIZAMENTO_AĮO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
4;2026-04-29 14:13:37;BENEFICIARIOS_NUM_PROCESSO;;NUMERO_PROCESSO;Texto Curto;20;;
5;2026-04-29 14:13:37;BENEFICIARIOS_TXT_TIPO_CAUSA;;DESCRICAO_TIPO_CAUSA;Texto Curto;157;;
6;2026-04-29 14:13:37;BENEFICIARIOS_COD_ASSUNTO;;CODIGO_ASSUNTO;Texto Curto;11;;
7;2026-04-29 14:13:37;BENEFICIARIOS_DES_ASSUNTO;;DESCRICAO_ASSUNTO;Texto Curto;104;;
8;2026-04-29 14:13:37;BENEFICIARIOS_DATA_AUTUACAO;;DATA_AUTUACAO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
9;2026-04-29 14:13:37;BENEFICIARIOS_COD_CPF_CNPJ;;CODIGO_CPF_CNPJ;Texto Curto;14;;
10;2026-04-29 14:13:37;BENEFICIARIOS_NOME_PESSOA;;NOME_PESSOA;Texto Curto;60;;
11;2026-04-29 14:13:37;BENEFICIARIOS_DES_TIPO_BENEFICIARIO;;DESCRICAO_TIPO_BENEFICIARIO;Texto Curto;21;;
12;2026-04-29 14:13:37;BENEFICIARIOS_DATA_NASCIMENTO;;DATA_NASCIMENTO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
13;2026-04-29 14:13:37;BENEFICIARIOS_COD_UNIDADE_LOTACAO;;CODIGO_UNIDADE_LOTACAO;Numero;Decimal;Automatico;
14;2026-04-29 14:13:37;BENEFICIARIOS_DATA_TRANSITO_JULGADO;;DATA_TRANSITO_JULGADO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
15;2026-04-29 14:13:37;BENEFICIARIOS_DATA_TRANSITO_JULGADO_EXECUCAO;;DATA_TRANSITO_JULGADO_EXECUCAO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
16;2026-04-29 14:13:37;BENEFICIARIOS_COD_UNIDADE;;CODIGO_UNIDADE;Numero;Inteiro longo;Automatico;
17;2026-04-29 14:13:37;UNIDADE_JUDICIAL_COD_UNIDADE_JUDICIAL;;CODIGO_UNIDADE_JUDICIAL;Numero;Inteiro longo;Automatico;
18;2026-04-29 14:13:37;UNIDADE_JUDICIAL_NOME_UNIDADE_JUDICIAL;;NOME_UNIDADE_JUDICIAL;Texto Curto;62;;
19;2026-04-29 14:13:37;MUNICIPIO_DES_MUNICIPIO;;DESCRICAO_MUNICIPIO;Texto Curto;21;;
20;2026-04-29 14:13:37;dUG_PREC_REGIAO;;PREC_REGIAO;Numero;Inteiro longo;Automatico;
21;2026-04-29 14:13:37;BENEFICIARIOS_IND_PORTADOR_DEFICIENCIA;;INDICADOR_PORTADOR_DEFICIENCIA;Texto Curto;1;;
22;2026-04-29 14:13:37;BENEFICIARIOS_IND_PORTADOR_DOENCA_GRAVE;;INDICADOR_PORTADOR_DOENCA_GRAVE;Texto Curto;1;;
23;2026-04-29 14:13:37;BENEFICIARIO_IND_ISENTO_IRRF;;INDICADOR_ISENTO_IRRF;Texto Curto;1;;
24;2026-04-29 14:13:37;BENEFICIARIOS_IND_REINCLUSAO_LEI_13463;;INDICADOR_REINCLUSAO_LEI_13463;Texto Curto;1;;
25;2026-04-29 14:13:37;BENEFICIARIOS_IND_TRIBUTARIO;;INDICADOR_TRIBUTARIO;Texto Curto;1;;
26;2026-04-29 14:13:37;BENEFICIARIOS_IND_ALIMENTAR;;INDICADOR_ALIMENTAR;Texto Curto;1;;
27;2026-04-29 14:13:37;BENEFICIARIOS_COD_TIPO_NATUREZA_DESPESA;;CODIGO_TIPO_NATUREZA_DESPESA;Texto Curto;6;;
28;2026-04-29 14:13:37;BENEFICIARIOS_COD_TIPO_DESPESA;;CODIGO_TIPO_DESPESA;Texto Curto;2;;
29;2026-04-29 14:13:37;BENEFICIARIOS_COD_TIPO_SENTENCA;;CODIGO_TIPO_SENTENCA;Texto Curto;5;;
30;2026-04-29 14:13:37;BENEFICIARIOS_DES_TIPO_SENTENCA;;DESCRICAO_TIPO_SENTENCA;Texto Curto;38;;
31;2026-04-29 14:13:37;BENEFICIARIOS_NUM_BANCO;;NUMERO_BANCO;Texto Curto;3;;
32;2026-04-29 14:13:37;BENEFICIARIOS_IND_BLOQUEIO;;INDICADOR_BLOQUEIO;Texto Curto;1;;
33;2026-04-29 14:13:37;Medidas_Valor_Geral;;MEDIDAS_VALOR_GERAL;Numero;Duplo;Automatico;
34;2026-04-29 14:13:37;Total;;TOTAL;Numero;Duplo;Automatico;
35;2026-04-29 14:13:37;ACAO_ORIGINARIA_DATA_AJUIZAMENTO_ACAO;;DATA_AJUIZAMENTO_AĮO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
36;2026-04-29 14:13:37;ACAO_ORIGINARIA_NUM_ACAO_ORIGINARIA;;NUMERO_ACAO_ORIGINARIA;Texto Curto;20;;
37;2026-04-29 14:13:37;ASSUNTO_COD_ASSUNTO;;CODIGO_ASSUNTO;Texto Curto;11;;
38;2026-04-29 14:13:37;ASSUNTO_DES_ASSUNTO;;DESCRICAO_ASSUNTO;Texto Curto;104;;
39;2026-04-29 14:13:37;BENEFICIARIOS_ABR_UNIDADE_GESTORA;;ABREVIACAO_UNIDADE_GESTORA;Texto Curto;20;;
40;2026-04-29 14:13:37;BENEFICIARIOS_COD_UNIDADE_JUDICIAL;;CODIGO_UNIDADE_JUDICIAL;Numero;Inteiro longo;Automatico;
41;2026-04-29 14:13:37;BENEFICIARIOS_DES_MUNICIPIO;;DESCRICAO_MUNICIPIO;Texto Curto;21;;
42;2026-04-29 14:13:37;BENEFICIARIOS_IND_ISENTO_IRRF;;INDICADOR_ISENTO_IRRF;Texto Curto;1;;
43;2026-04-29 14:13:37;BENEFICIARIOS_NOME_UNIDADE;;NOME_UNIDADE;Texto Curto;62;;
44;2026-04-29 14:13:37;BENEFICIARIOS_NOME_UNIDADE_JUDICIAL;;NOME_UNIDADE_JUDICIAL;Texto Curto;62;;
45;2026-04-29 14:13:37;BENEFICIARIO_COD_CPF_CNPJ;;CODIGO_CPF_CNPJ;Texto Curto;14;;
46;2026-04-29 14:13:37;BENEFICIARIO_COD_UNIDADE_LOTACAO;;CODIGO_UNIDADE_LOTACAO;Numero;Decimal;Automatico;
47;2026-04-29 14:13:37;BENEFICIARIO_DATA_AUTUACAO;;DATA_AUTUACAO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
48;2026-04-29 14:13:37;BENEFICIARIO_DATA_NASCIMENTO;;DATA_NASCIMENTO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
49;2026-04-29 14:13:37;BENEFICIARIO_DATA_TRANSITO_JULGADO;;DATA_TRANSITO_JULGADO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
50;2026-04-29 14:13:37;BENEFICIARIO_DATA_TRANSITO_JULGADO_EXECUCAO_;;DATA_TRANSITO_JULGADO_EXECUCAO;Data/Hora;;;YYYY-MM-DD HH:MM:SS
51;2026-04-29 14:13:37;BENEFICIARIO_IND_BLOQUEIO;;INDICADOR_BLOQUEIO;Texto Curto;1;;
52;2026-04-29 14:13:37;BENEFICIARIO_IND_PORTADOR_DEFICIENCIA;;INDICADOR_PORTADOR_DEFICIENCIA;Texto Curto;1;;
53;2026-04-29 14:13:37;BENEFICIARIO_IND_PORTADOR_DOENCA_GRAVE;;INDICADOR_PORTADOR_DOENCA_GRAVE;Texto Curto;1;;
54;2026-04-29 14:13:37;BENEFICIARIO_IND_REINCLUSAO_LEI_13463;;INDICADOR_REINCLUSAO_LEI_13463;Texto Curto;1;;
55;2026-04-29 14:13:37;BENEFICIARIO_IND_TRIBUTARIO;;INDICADOR_TRIBUTARIO;Texto Curto;1;;
56;2026-04-29 14:13:37;BENEFICIARIO_NOME_PESSOA;;NOME_PESSOA;Texto Curto;60;;
57;2026-04-29 14:13:37;BENEFICIARIO_NUM_PROCESSO;;NUMERO_PROCESSO;Texto Curto;20;;
58;2026-04-29 14:13:37;BENEFICIARIO_TXT_TIPO_CAUSA;;DESCRICAO_TIPO_CAUSA;Texto Curto;157;;
59;2026-04-29 14:13:37;CLASSIFICACAO_DESPESA_IND_ALIMENTAR;;INDICADOR_ALIMENTAR;Texto Curto;1;;
60;2026-04-29 14:13:37;Medidas_Valor_Proposta_Padrao;;VALOR_PROPOSTA_PADRAO;Numero;Duplo;Automatico;
61;2026-04-29 14:13:37;Mtricas_Vlr_Geral;;VALOR_GERAL;Numero;Duplo;Automatico;
62;2026-04-29 14:13:37;PLANO_ANO_REFERENCIA;;ANO_REFERENCIA;Texto Curto;4;;
63;2026-04-29 14:13:37;TIPO_BENEFICIARIO_DES_TIPO_BENEFICIARIO;;DESCRICAO_TIPO_BENEFICIARIO;Texto Curto;21;;
64;2026-04-29 14:13:37;TIPO_DESPESA_COD_TIPO_DESPESA;;CODIGO_TIPO_DESPESA;Texto Curto;2;;
65;2026-04-29 14:13:37;TIPO_NATUREZA_DESPESA_COD_TIPO_NATUREZA_DESPESA;;CODIGO_TIPO_NATUREZA_DESPESA;Texto Curto;6;;
66;2026-04-29 14:13:37;TIPO_ORDEM_PAGAMENTO_107A_DES_TIPO_ORDEM_PAGAMENTO_107A;;DESCRICAO_TIPO_ORDEM_PAGAMENTO_107A;Texto Curto;200;;
67;2026-04-29 14:13:37;TIPO_SENTENCA_COD_TIPO_SENTENCA;;CODIGO_TIPO_SENTENCA;Texto Curto;5;;
68;2026-04-29 14:13:37;TIPO_SENTENCA_DES_TIPO_SENTENCA;;DESCRICAO_TIPO_SENTENCA;Texto Curto;38;;
69;2026-04-29 14:13:37;Total.1;;TOTAL;Numero;Duplo;Automatico;
70;2026-04-29 14:13:37;"Total;";;TOTAL;Numero;Duplo;Automatico;
71;2026-04-29 14:13:37;UNIDADE_COD_UNIDADE;;CODIGO_UNIDADE;Numero;Inteiro longo;Automatico;
72;2026-04-29 14:13:37;UNIDADE_GESTORA_Tribunal;;TRIBUNAL;Texto Curto;5;;
73;2026-04-29 14:13:37;dBancos_NUM_BANCO;;NUMERO_BANCO;Texto Curto;3;;
74;2026-04-29 14:13:37;dUG_PREC_TRF;;PREC_TRF;Numero;Inteiro longo;Automatico;
